1	N	48
1	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	64
3	J	64
2	E	68
1	J	68
3	R	68
3	W	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	107
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	628
4	R	628
4	W	628
0	R	628
4	J	670
4	R	670
4	W	670
0	R	670
4	J	706
4	R	706
6	N	709
6	J	709
4	W	709
6	R	709
6	E	715
4	J	715
4	R	715
7	N	716
7	J	716
4	W	716
7	R	716
4	J	718
7	E	719
4	R	719
4	W	719
4	J	719
4	R	719
4	W	720
0	R	720
4	J	808
4	R	808
4	W	808
0	R	808
4	J	838
4	R	838
4	W	838
0	R	838
4	J	868
4	R	868
4	W	868
0	R	868
4	J	898
4	R	898
4	W	898
0	R	898
4	J	902
4	R	902
4	W	902
0	R	902
4	J	942
4	R	942
4	W	942
0	R	942
4	J	958
4	R	958
4	W	958
0	R	958
4	J	988
4	R	988
4	W	988
0	R	988
4	J	1018
4	R	1018
4	W	1018
0	R	1018
4	J	1048
4	R	1048
4	W	1048
0	R	1048
4	J	1059
4	R	1059
4	W	1059
0	R	1059
4	J	1108
4	R	1108
8	N	1110
8	J	1110
4	W	1110
8	R	1110
9	N	1112
9	J	1112
10	N	1113
10	J	1113
11	N	1113
11	J	1113
12	N	1114
12	J	1114
13	N	1115
13	J	1115
14	N	1115
14	J	1115
15	N	1116
15	J	1116
16	N	1117
16	J	1117
17	N	1117
17	J	1117
18	N	1118
18	J	1118
19	N	1119
19	J	1119
20	N	1119
20	J	1119
21	N	1120
21	J	1120
22	N	1121
22	J	1121
23	N	1121
23	J	1121
24	N	1122
24	J	1122
25	N	1123
25	J	1123
26	N	1123
26	J	1123
27	N	1124
27	J	1124
28	N	1125
28	J	1125
29	N	1125
29	J	1125
8	W	1128
29	R	1128
29	J	1188
28	R	1188
28	J	1248
27	R	1248
27	J	1308
26	R	1308
26	J	1368
25	R	1368
25	J	1428
24	R	1428
24	J	1488
23	R	1488
23	J	1548
22	R	1548
22	J	1608
21	R	1608
21	J	1668
20	R	1668
20	J	1728
19	R	1728
19	J	1788
18	R	1788
18	J	1848
17	R	1848
17	J	1908
16	R	1908
16	J	1968
15	R	1968
15	J	2028
14	R	2028
14	J	2088
13	R	2088
13	J	2148
12	R	2148
12	J	2208
11	R	2208
11	J	2268
10	R	2268
10	J	2328
9	R	2328
9	W	2328
29	R	2328
29	J	2388
28	R	2388
28	J	2448
27	R	2448
27	J	2508
26	R	2508
26	J	2568
25	R	2568
25	J	2628
24	R	2628
24	J	2688
23	R	2688
23	J	2748
22	R	2748
22	J	2808
21	R	2808
21	J	2868
20	R	2868
20	J	2928
19	R	2928
19	J	2988
18	R	2988
18	J	3048
17	R	3048
3	J	3108
17	J	3108
3	R	3108
3	W	3108
16	R	3108
16	J	3168
15	R	3168
15	J	3228
14	R	3228
14	J	3288
13	R	3288
13	J	3348
12	R	3348
12	J	3408
11	R	3408
11	J	3468
10	R	3468
10	J	3528
29	R	3528
29	J	3588
28	R	3588
28	J	3648
27	R	3648
27	J	3708
26	R	3708
26	J	3768
25	R	3768
25	J	3828
24	R	3828
24	J	3888
23	R	3888
23	J	3948
22	R	3948
22	J	4008
21	R	4008
21	J	4068
20	R	4068
20	J	4128
19	R	4128
19	J	4188
18	R	4188
18	J	4248
17	R	4248
17	J	4308
16	R	4308
9	J	4368
16	J	4368
9	R	4368
9	E	4368
8	J	4368
8	R	4368
8	E	4369
4	J	4369
4	R	4369
30	N	4370
30	J	4370
4	W	4370
15	R	4370
15	J	4430
14	R	4430
14	J	4490
13	R	4490
13	J	4550
12	R	4550
12	J	4610
11	R	4610
11	J	4670
10	R	4670
10	J	4730
30	R	4730
4	J	4732
30	E	4732
4	R	4732
4	W	4733
29	R	4733
29	J	4793
28	R	4793
28	J	4853
27	R	4853
27	J	4913
26	R	4913
26	J	4973
25	R	4973
25	J	5033
24	R	5033
24	J	5093
23	R	5093
23	J	5153
22	R	5153
22	J	5213
21	R	5213
21	J	5273
20	R	5273
20	J	5333
19	R	5333
19	J	5393
18	R	5393
18	J	5453
17	R	5453
17	J	5513
16	R	5513
4	J	5518
16	J	5573
4	R	5573
4	W	5573
15	R	5573
4	J	5578
15	J	5633
4	R	5633
4	W	5633
14	R	5633
4	J	5647
14	J	5693
4	R	5693
4	W	5693
13	R	5693
4	J	5698
13	J	5753
4	R	5753
4	W	5753
12	R	5753
12	J	5813
11	R	5813
4	J	5836
11	J	5873
4	R	5873
31	N	5875
31	J	5875
4	W	5875
10	R	5875
10	J	5935
31	R	5935
